74852833,,VENTAS DIARIAS ,,,,,,,,INTERACCIONES POR REDES ,,,,,,,,,,
FECHA,CANT/MONTO,WHATSAPP ,INSTAGRAM,FACEBOOK ,SHOWROOM ,WEB ,TIENDA,TOTAL ,,,,WHATSAPP,INTAGRAM ,FACEBOOK ,,,,WHATSAPP,INTAGRAM ,FACEBOOK 
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.0,00","S/.296,60","S/.968,80","S/.1.265,40",,,MONTO TOTAL,"S/.309,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.154,30","S/.0,00","S/.0,00"
23/02/2026,CANTIDAD ,2,0,0,0,1,3,6,,12-feb,CANT. CONTACTOS ,21,4,0,,26-feb,CANT. CONTACTOS ,37,1,0
,MONTO ,"S/.335,90","S/.0,00","S/.0,00","S/.0,00","S/.63,60","S/.987,30","S/.1.386,80",,,CANT. VENTAS ,1,0,0,,,CANT. VENTAS ,1,0,0
24/02/2026,CANTIDAD ,1,0,0,1,3,5,10,,,TASA DE VENTA ,,"0,00%",0%,,,TASA DE VENTA ,,0%,0%
,MONTO ,"S/.154,30","S/.0,00","S/.0,00","S/.331,00","S/.522,70","S/.2.908,64","S/.3.916,64",,,MONTO TOTAL,"S/.458,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.119,60","S/.0,00","S/.0,00"
25/02/2026,CANTIDAD ,1,0,0,0,0,7,8,,13-feb,CANT. CONTACTOS ,13,2,0,,27-feb,CANT. CONTACTOS ,30,0,0
,MONTO ,"S/.154,30","S/.0,00","S/.0,00","S/.0,00","S/.0,00","S/.2.511,19","S/.2.665,49",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,0,0,0
26/02/2026,CANTIDAD ,1,0,0,0,1,4,6,,,TASA DE VENTA ,"0,00%",0%,0%,,,TASA DE VENTA ,"0,00%",0%,0%
,MONTO ,"S/.119,60","S/.0,00","S/.0,00","S/.0,00","S/.154,30","S/.1.070,20","S/.1.344,10",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
27/02/2026,CANTIDAD ,0,0,0,0,0,5,5,,14-feb,CANT. CONTACTOS ,8,1,0,,28-feb,CANT. CONTACTOS ,15,1,0
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.0,00","S/.0,00","S/.1.344,70","S/.1.344,70",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,2,0,0
28/02/2026,CANTIDAD ,2,0,0,1,0,6,9,,,TASA DE VENTA ,"0,00%","0,00%",0%,,,TASA DE VENTA ,,0%,0%
,MONTO ,"S/.275,20","S/.0,00","S/.0,00","S/.510,00","S/.0,00","S/.1.380,40","S/.2.165,60",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.275,20","S/.0,00","S/.0,00"
