,,VENTAS DIARIAS ,,,,,,,,INTERACCIONES POR REDES ,,,,,,,,,,
FECHA,CANT/MONTO,WHATSAPP ,INSTAGRAM,FACEBOOK ,SHOWROOM ,WEB ,TIENDA,TOTAL ,,,,WHATSAPP,INTAGRAM ,FACEBOOK ,,,,WHATSAPP,INTAGRAM ,FACEBOOK 
,MONTO ,"S/.191,50","S/.189,00","S/.0,00","S/.0,00","S/.269,00","S/.8.990,90","S/.9.640,40",,,CANT. VENTAS ,0,0,0%,,,CANT. VENTAS ,0,1,0
26/04/2026,CANTIDAD ,0,0,0,0,1,5,6,,,TASA DE VENTA ,"0,00%",0%,0%,,,TASA DE VENTA ,"0,00%",,0%
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.0,00","S/.154,20","S/.2.011,80","S/.2.166,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.393,30","S/.0,00"
27/04/2026,CANTIDAD ,1,0,0,0,1,3,5,,14-abr,CANT. CONTACTOS ,13,3,0,,29-abr,CANT. CONTACTOS ,7,0,0
,MONTO ,"S/.334,00","S/.0,00","S/.0,00","S/.0,00","S/.77,24","S/.670,80","S/.1.082,04",,,CANT. VENTAS ,1,1,0,,,CANT. VENTAS ,0,0,0
28/04/2026,CANTIDAD ,0,1,0,0,2,6,9,,,TASA DE VENTA ,,,0%,,,TASA DE VENTA ,"0,00%",0%,0%
,MONTO ,"S/.0,00","S/.393,30","S/.0,00","S/.0,00","S/.1.048,40","S/.3.450,60","S/.4.892,30",,,MONTO TOTAL,"S/.140,40","S/.229,40","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
29/04/2026,CANTIDAD ,0,0,0,0,2,9,11,,15-abr,CANT. CONTACTOS ,13,2,0,,30-abr,CANT. CONTACTOS ,8,2,0
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.0,00","S/.592,20","S/.2.841,60","S/.3.433,80",,,CANT. VENTAS ,1,0,0%,,,CANT. VENTAS ,2,0,0
30/04/2026,CANTIDAD ,2,0,0,2,0,12,16,,,TASA DE VENTA ,,0%,0%,,,TASA DE VENTA ,,0%,0%
,MONTO ,"S/.334,60","S/.0,00","S/.0,00","S/.593,80","S/.0,00","S/.2.850,10","S/.3.778,50",,,MONTO TOTAL,"S/.533,60","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.334,60","S/.0,00","S/.0,00"
,,,,,,,,0,,,,,,,,,,,,
,,,,,,,,"S/.0,00",,,,,,,,,,,,
